trip_month,trip_day,trip_day_of_week,trip_hour,trip_duration,trip_distance,payment_type,pickup_zone,dropoff_zone,tip_bin
7,26,5,21,1324,12.93,1,138,40,1
7,29,1,2,1514,12.15,1,114,212,1
7,7,7,20,2154,11.32,1,246,257,1
7,25,4,0,1981,11.01,1,107,95,1
7,23,2,0,1357,12.43,1,138,36,1
7,14,7,22,2019,11.58,1,138,188,1
7,29,1,2,2273,8.86,1,112,89,1
7,12,5,23,2495,9.51,1,45,260,1
7,18,4,1,1042,13.03,1,132,138,1
7,13,6,3,1735,12.43,1,230,165,1
7,24,3,1,1813,12.28,1,132,189,1
7,18,4,0,1796,11.54,1,263,181,1
7,5,5,21,1652,11.88,1,113,127,1
7,22,1,1,1478,12.68,1,246,241,1
7,11,4,1,1784,12.02,1,230,230,1
7,23,2,1,1695,12.38,1,132,181,1
7,10,3,21,1744,11.54,1,249,127,1
7,28,7,21,2101,11.44,1,132,76,1
7,4,4,12,40923,11.7,1,142,138,0
7,26,5,23,3016,9.57,1,90,198,1
7,22,1,4,1882,12.2,1,181,132,1
7,31,3,21,1392,12.61,1,138,231,1
7,24,3,1,1548,12.26,1,261,159,1
7,22,1,0,2614,9.8,1,114,116,1
7,6,6,20,1633,12.33,1,170,14,1
7,24,3,0,1524,12.31,1,249,169,1
7,17,3,20,1734,11.71,1,138,40,1
7,20,6,22,2290,10.89,1,230,257,1
7,20,6,1,1742,11.74,1,229,185,1
7,19,5,22,2126,10.61,1,138,158,1
7,20,6,0,1541,12.3,1,125,127,1
7,22,1,15,2527,10,1,158,71,1
7,25,4,14,1806,12.17,1,138,107,1
7,23,2,13,1997,10.78,1,138,48,1
7,13,6,11,2384,9.76,1,138,48,1
7,8,1,16,1901,11.53,1,138,164,1
7,26,5,14,2197,10.46,1,161,138,1
7,12,5,8,2761,9.82,1,138,249,1
7,16,2,8,3133,9.39,1,138,238,1
7,31,3,12,2456,9.64,1,138,68,1
7,3,3,10,2401,9.38,1,164,138,1
7,24,3,13,2100,11.22,1,138,164,1
7,22,1,14,1887,11.93,1,186,138,1
7,9,2,13,2097,11.52,1,48,138,1
7,25,4,6,1798,12.75,1,50,138,1
7,18,4,12,1838,11.39,1,163,138,1
7,11,4,9,2465,10.13,1,138,158,1
7,11,4,13,2225,10.66,1,230,138,1
7,7,7,12,2084,11.69,1,138,186,1
7,28,7,17,1935,12.19,1,262,95,1
7,19,5,14,2135,10.92,1,162,138,1
7,8,1,19,1987,11.7,1,138,48,1
7,17,3,7,2325,11.27,1,138,170,1
7,6,6,22,1890,11.9,2,230,181,0
7,22,1,20,1637,12.67,1,138,79,0
7,16,2,5,1586,12.2,1,230,138,0
7,1,1,13,1961,11.65,1,138,181,0
